                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.81448,                0.77655,                 1.1991,                0.93364,                0.96922,                0.97616,                0.80747,                 0.6998,                0.63387,                 1.2098,              0.0011224,              0.0011224,              0.0011224
                     35,                0.86081,                0.80654,                 1.2455,                0.76859,                0.74726,                0.85786,                0.67348,                 0.7718,                 1.4269,                 1.2944,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.8219,                0.82156,                 1.2105,                 0.8467,                0.91404,                0.94492,                  0.764,                0.67391,                0.67702,                 1.2127,              0.0010894,              0.0010894,              0.0010894
                     37,                0.85484,                0.80543,                 1.2294,                0.92665,                0.91811,                0.96146,                0.75347,                0.78086,                0.72309,                 1.2844,              0.0010729,              0.0010729,              0.0010729
                     38,                0.82311,                0.78003,                 1.2216,                0.93221,                0.86137,                0.95916,                0.76097,                0.68443,                0.69351,                 1.2054,              0.0010564,              0.0010564,              0.0010564
                     39,                0.81596,                0.76715,                 1.1918,                0.90748,                0.95013,                0.96715,                0.73533,                0.80272,                0.63245,                 1.3249,              0.0010399,              0.0010399,              0.0010399
                     40,                0.81536,                0.74524,                 1.2039,                0.94059,                0.94521,                0.97324,                0.79137,                0.70052,                0.61047,                 1.2343,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.8204,                0.76627,                 1.1951,                0.94548,                0.87254,                0.94353,                0.76689,                0.71656,                0.63232,                  1.241,              0.0010069,              0.0010069,              0.0010069
                     42,                0.79503,                0.74321,                 1.2003,                0.90381,                0.88837,                0.94625,                0.77154,                0.74897,                0.70614,                   1.29,             0.00099036,             0.00099036,             0.00099036
                     43,                0.78375,                0.72526,                 1.1825,                0.91373,                0.94681,                0.97006,                0.82324,                0.67655,                0.68159,                 1.2083,             0.00097386,             0.00097386,             0.00097386
                     44,                0.81047,                0.75708,                 1.2158,                0.94363,                0.97631,                0.98312,                0.80832,                0.72002,                0.56981,                 1.2516,             0.00095736,             0.00095736,             0.00095736
                     45,                0.76443,                0.72486,                 1.1869,                 0.9691,                0.94295,                0.98296,                0.78405,                 0.6961,                0.53255,                 1.2225,             0.00094085,             0.00094085,             0.00094085
