                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.89172,                0.85001,                 1.2585,                0.91551,                0.86111,                0.94024,                 0.7754,                0.70466,                0.73692,                 1.2236,              0.0012544,              0.0012544,              0.0012544
                     27,                0.88396,                0.85438,                  1.251,                0.91956,                0.87367,                0.92614,                0.72507,                0.87281,                0.76115,                 1.3924,              0.0012379,              0.0012379,              0.0012379
                     28,                0.84793,                0.80667,                  1.228,                 0.9233,                0.88889,                0.92552,                0.72606,                0.80398,                0.78791,                  1.282,              0.0012214,              0.0012214,              0.0012214
                     29,                0.84058,                0.81525,                  1.226,                0.86295,                0.89025,                 0.9369,                0.71728,                0.80103,                0.75791,                 1.3166,              0.0012049,              0.0012049,              0.0012049
                     30,                0.84807,                0.80394,                 1.2345,                0.90242,                0.86925,                0.94921,                0.75116,                0.81673,                0.64041,                 1.3106,              0.0011884,              0.0011884,              0.0011884
                     31,                0.82819,                0.76727,                 1.2041,                0.83246,                0.89359,                0.93276,                0.77421,                0.73179,                0.76858,                 1.2466,              0.0011719,              0.0011719,              0.0011719
                     32,                0.82506,                0.75737,                 1.2247,                0.88441,                0.94009,                0.95928,                 0.7643,                0.76561,                 0.7148,                 1.2636,              0.0011554,              0.0011554,              0.0011554
                     33,                0.80496,                0.72946,                 1.1914,                0.98497,                0.90278,                0.97717,                0.78844,                 0.7267,                0.57516,                 1.2341,              0.0011389,              0.0011389,              0.0011389
                     34,                0.83319,                 0.7684,                 1.2126,                0.91578,                 0.8875,                0.94047,                0.78127,                0.69312,                0.76477,                 1.2305,              0.0011224,              0.0011224,              0.0011224
                     35,                0.81592,                 0.7911,                 1.2132,                0.92807,                0.97258,                0.98072,                 0.7936,                0.69907,                0.62103,                 1.2329,              0.0011059,              0.0011059,              0.0011059
                     36,                0.79609,                0.73916,                 1.1937,                0.93876,                0.95659,                 0.9764,                0.80392,                0.67462,                0.60308,                 1.2088,              0.0010894,              0.0010894,              0.0010894
                     37,                 0.7813,                0.72577,                 1.1987,                0.96064,                0.88541,                0.94717,                0.79284,                 0.6341,                0.66983,                 1.1865,              0.0010729,              0.0010729,              0.0010729
                     38,                0.78541,                0.72487,                 1.2034,                0.85486,                0.93177,                0.94805,                0.77539,                0.69775,                0.73501,                 1.2109,              0.0010564,              0.0010564,              0.0010564
                     39,                0.76558,                0.70781,                 1.1761,                0.91245,                0.91667,                0.95664,                0.80752,                0.62114,                0.66009,                 1.1679,              0.0010399,              0.0010399,              0.0010399
                     40,                0.79151,                0.70608,                 1.1899,                0.92135,                0.88889,                0.96006,                0.80219,                0.65856,                0.64871,                 1.1681,              0.0010234,              0.0010234,              0.0010234
                     41,                0.77663,                0.72568,                 1.1827,                0.93227,                0.91667,                0.95833,                0.81459,                0.62987,                0.69016,                 1.1891,              0.0010069,              0.0010069,              0.0010069
                     42,                0.77212,                0.72287,                 1.1805,                0.97687,                0.94591,                0.97761,                0.79458,                0.68255,                0.59023,                 1.2239,             0.00099036,             0.00099036,             0.00099036
                     43,                0.76285,                0.71049,                  1.158,                0.92552,                0.94393,                0.97671,                0.77214,                0.77355,                0.68665,                 1.3156,             0.00097386,             0.00097386,             0.00097386
                     44,                0.73078,                0.64667,                 1.1672,                 0.9072,                0.93056,                0.96446,                0.80461,                0.62176,                0.68102,                 1.1679,             0.00095736,             0.00095736,             0.00095736
                     45,                0.72724,                 0.6655,                 1.1532,                0.88087,                0.83672,                0.94732,                0.77719,                0.71292,                0.70575,                 1.2507,             0.00094085,             0.00094085,             0.00094085
                     46,                0.73575,                0.65567,                  1.153,                  0.953,                 0.8919,                0.97717,                0.79175,                 0.6888,                0.56023,                 1.2221,             0.00092435,             0.00092435,             0.00092435
                     47,                0.73248,                0.66809,                 1.1679,                0.92639,                0.93757,                 0.9742,                0.80726,                0.68214,                0.53872,                   1.22,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.7319,                0.67793,                 1.1632,                 0.9285,                0.93056,                0.96378,                0.79935,                 0.6862,                0.59148,                 1.2058,             0.00089134,             0.00089134,             0.00089134
                     49,                0.72697,                0.63994,                 1.1531,                0.96843,                0.94444,                0.96864,                0.79134,                0.70802,                 0.6118,                 1.2203,             0.00087484,             0.00087484,             0.00087484
                     50,                0.70014,                0.63795,                  1.136,                0.95441,                0.92118,                0.97633,                0.85114,                0.61753,                0.59607,                 1.1573,             0.00085834,             0.00085834,             0.00085834
                     51,                0.70012,                0.61738,                 1.1322,                0.93168,                0.94642,                0.98048,                0.82551,                0.64294,                0.52694,                 1.1979,             0.00084184,             0.00084184,             0.00084184
                     52,                0.70762,                0.62142,                 1.1379,                0.95847,                0.97488,                0.98083,                0.84474,                0.61082,                0.47588,                 1.1828,             0.00082533,             0.00082533,             0.00082533
                     53,                0.70451,                 0.6324,                 1.1379,                0.97695,                0.95218,                0.98454,                0.83716,                0.65958,                0.52379,                 1.1689,             0.00080883,             0.00080883,             0.00080883
                     54,                0.64919,                0.59991,                 1.1027,                0.94367,                0.94486,                0.98199,                0.85181,                0.62669,                0.50996,                 1.1889,             0.00079233,             0.00079233,             0.00079233
                     55,                0.68723,                0.61181,                 1.1367,                 0.9744,                0.93056,                0.97725,                0.84504,                 0.5879,                 0.4617,                 1.0956,             0.00077582,             0.00077582,             0.00077582
                     56,                0.66705,                0.58381,                 1.1075,                0.95171,                0.95833,                0.98035,                0.85937,                0.58777,                0.49397,                 1.1068,             0.00075932,             0.00075932,             0.00075932
                     57,                0.69061,                0.61099,                 1.1397,                0.93499,                0.95342,                0.95706,                0.81622,                0.62839,                 0.5796,                 1.1396,             0.00074282,             0.00074282,             0.00074282
                     58,                0.67265,                0.59066,                 1.1171,                0.91966,                0.97222,                0.97786,                0.84326,                0.58023,                0.52395,                 1.1052,             0.00072631,             0.00072631,             0.00072631
                     59,                0.68494,                0.59261,                 1.1204,                0.96557,                0.90278,                0.96795,                0.82794,                0.61546,                0.53905,                 1.1214,             0.00070981,             0.00070981,             0.00070981
                     60,                 0.6381,                0.54265,                 1.0963,                0.94226,                0.95785,                 0.9805,                0.84791,                 0.6038,                0.52527,                 1.1212,             0.00069331,             0.00069331,             0.00069331
                     61,                0.66067,                0.57981,                 1.1107,                0.95657,                0.94454,                0.97277,                0.84272,                0.59161,                0.53404,                 1.1219,              0.0006768,              0.0006768,              0.0006768
                     62,                0.64821,                0.56843,                 1.1066,                0.97087,                0.96531,                0.98379,                0.83438,                0.62121,                0.50604,                 1.1641,              0.0006603,              0.0006603,              0.0006603
                     63,                0.66125,                0.57049,                 1.1086,                0.99327,                0.95471,                0.98494,                0.84532,                0.59906,                0.43814,                 1.1282,              0.0006438,              0.0006438,              0.0006438
                     64,                0.62952,                0.54464,                 1.0958,                 0.9708,                0.98274,                0.99311,                0.83141,                0.62393,                0.41807,                 1.1542,             0.00062729,             0.00062729,             0.00062729
                     65,                0.65145,                0.58011,                 1.1106,                0.96339,                0.93207,                0.97946,                0.85397,                    0.6,                0.48606,                 1.1366,             0.00061079,             0.00061079,             0.00061079
                     66,                0.62353,                0.54648,                 1.0984,                0.97854,                0.93555,                0.98515,                0.84588,                0.56323,                0.48327,                 1.1182,             0.00059429,             0.00059429,             0.00059429
                     67,                0.62064,                0.54669,                 1.0861,                0.98776,                0.93056,                0.98742,                 0.8611,                0.52845,                0.44158,                 1.0695,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.6158,                0.53384,                 1.0796,                0.93501,                0.95438,                0.98387,                0.86001,                0.58673,                 0.4804,                 1.1164,             0.00056128,             0.00056128,             0.00056128
                     69,                0.60816,                0.52614,                 1.0781,                0.96874,                 0.9174,                0.98209,                0.80528,                0.70312,                0.51099,                 1.2249,             0.00054478,             0.00054478,             0.00054478
                     70,                0.60796,                0.51447,                 1.0828,                0.97051,                 0.9706,                0.98569,                0.84066,                0.58998,                0.42264,                 1.1412,             0.00052827,             0.00052827,             0.00052827
                     71,                0.62432,                0.53534,                 1.0882,                0.98012,                0.97072,                0.98674,                0.85647,                0.57866,                0.46903,                 1.1364,             0.00051177,             0.00051177,             0.00051177
                     72,                0.60296,                0.51003,                 1.0738,                0.96278,                0.96738,                 0.9843,                0.87454,                0.56741,                0.40755,                 1.1126,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.6074,                0.51164,                 1.0701,                0.90487,                0.96801,                0.97305,                0.86899,                0.56143,                0.48172,                 1.1222,             0.00047876,             0.00047876,             0.00047876
                     74,                0.60921,                0.51992,                 1.0917,                0.95848,                0.94699,                0.97424,                0.86626,                0.56051,                0.47856,                 1.1051,             0.00046226,             0.00046226,             0.00046226
                     75,                0.59363,                0.50644,                 1.0841,                0.95276,                0.91375,                0.97246,                0.85098,                0.58421,                0.53179,                 1.1265,             0.00044576,             0.00044576,             0.00044576
                     76,                0.57748,                0.51287,                 1.0575,                0.96003,                0.96166,                0.98347,                0.83998,                0.61001,                0.46283,                 1.1416,             0.00042925,             0.00042925,             0.00042925
                     77,                0.57931,                0.51923,                 1.0742,                 0.9405,                0.97222,                0.97082,                0.85486,                0.57365,                0.46563,                 1.1161,             0.00041275,             0.00041275,             0.00041275
                     78,                0.59946,                0.51072,                 1.0787,                0.95149,                0.95833,                0.98298,                0.86355,                0.55891,                0.42757,                 1.0967,             0.00039625,             0.00039625,             0.00039625
                     79,                0.58735,                0.49702,                 1.0669,                0.99477,                0.93056,                0.98291,                0.85661,                0.62026,                0.51785,                 1.1255,             0.00037974,             0.00037974,             0.00037974
                     80,                0.58235,                0.49978,                 1.0624,                0.96594,                0.97222,                0.98221,                0.85996,                0.56985,                0.46593,                 1.1022,             0.00036324,             0.00036324,             0.00036324
                     81,                0.57295,                0.48566,                  1.062,                 0.9701,                0.94108,                0.98463,                0.85212,                0.62948,                0.49535,                 1.1392,             0.00034674,             0.00034674,             0.00034674
                     82,                0.57035,                0.47689,                 1.0439,                0.95891,                0.96843,                0.98074,                0.86373,                0.57882,                 0.4548,                 1.1196,             0.00033023,             0.00033023,             0.00033023
                     83,                0.56463,                0.49736,                 1.0538,                0.96876,                0.94968,                0.98364,                0.87247,                0.53575,                0.46635,                  1.072,             0.00031373,             0.00031373,             0.00031373
                     84,                0.57112,                0.48126,                 1.0624,                0.93908,                0.96966,                0.98399,                0.84638,                0.60604,                0.45168,                 1.1344,             0.00029723,             0.00029723,             0.00029723
                     85,                0.55751,                0.48256,                  1.053,                0.95549,                0.98611,                0.98526,                 0.8612,                0.58958,                0.41524,                 1.1313,             0.00028072,             0.00028072,             0.00028072
                     86,                0.55985,                0.46702,                 1.0599,                0.95951,                0.97222,                  0.985,                 0.8797,                0.56854,                0.40342,                 1.1229,             0.00026422,             0.00026422,             0.00026422
                     87,                0.54725,                0.46725,                 1.0535,                0.97643,                0.95714,                0.98484,                0.88013,                0.56423,                0.43321,                 1.1191,             0.00024772,             0.00024772,             0.00024772
                     88,                   0.54,                 0.4591,                 1.0319,                0.98076,                0.96266,                0.98511,                 0.8647,                0.57756,                0.42396,                 1.1272,             0.00023121,             0.00023121,             0.00023121
                     89,                0.54153,                0.45185,                 1.0569,                0.98173,                0.96837,                0.98584,                0.88485,                0.55994,                0.42742,                 1.1232,             0.00021471,             0.00021471,             0.00021471
                     90,                0.35079,                0.27851,                0.90958,                0.97996,                0.96935,                0.98649,                0.87018,                0.56892,                0.42495,                 1.1417,             0.00019821,             0.00019821,             0.00019821
                     91,                0.33679,                0.26731,                0.90773,                0.96678,                0.98422,                0.98545,                 0.8803,                0.52328,                0.39994,                 1.0761,              0.0001817,              0.0001817,              0.0001817
                     92,                0.32944,                   0.26,                0.88744,                0.97227,                0.97462,                0.98539,                0.88095,                0.49893,                0.39017,                 1.0538,              0.0001652,              0.0001652,              0.0001652
                     93,                0.32359,                0.25208,                0.88362,                0.97665,                0.97222,                0.98452,                 0.8827,                0.53304,                0.39802,                 1.0971,              0.0001487,              0.0001487,              0.0001487
                     94,                0.31521,                0.25188,                 0.8859,                0.98167,                0.97222,                0.98465,                0.87872,                0.53914,                0.39224,                 1.1304,             0.00013219,             0.00013219,             0.00013219
                     95,                0.31544,                 0.2475,                0.88743,                0.98347,                0.97222,                 0.9849,                0.87925,                0.52961,                0.39211,                 1.1233,             0.00011569,             0.00011569,             0.00011569
                     96,                0.30692,                 0.2457,                0.87557,                0.98421,                0.97222,                0.98484,                0.87675,                0.52757,                0.36699,                 1.1107,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.29938,                0.24165,                0.87323,                 0.9845,                0.97222,                 0.9893,                0.87507,                0.52906,                 0.3683,                  1.104,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.30354,                0.23837,                0.88234,                0.98496,                0.97668,                 0.9903,                0.87876,                0.51324,                0.36728,                  1.088,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.28566,                0.22516,                0.87046,                 0.9821,                 0.9615,                0.98583,                0.87785,                0.53415,                0.39572,                 1.1221,             4.9677e-05,             4.9677e-05,             4.9677e-05
