                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0224,                  2.343,                 1.3874,                 0.6976,                0.61111,                0.68542,                0.45135,                 1.0557,                 2.2881,                 1.5734,             0.00055122,             0.00055122,             0.00055122
                      1,                 1.1744,                 2.0046,                 1.4689,                0.79982,                0.52778,                0.69528,                0.44392,                 1.1465,                 2.3497,                 1.6596,              0.0010959,              0.0010959,              0.0010959
                      2,                 1.2387,                 1.8522,                 1.5125,                0.56896,                0.58333,                0.60577,                0.37572,                 1.3595,                 1.9766,                 1.9467,              0.0016296,              0.0016296,              0.0016296
                      3,                  1.294,                 1.7295,                 1.5648,                0.77463,                0.52778,                0.70004,                  0.448,                 1.2688,                 2.0378,                 1.8369,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.2878,                 1.6017,                  1.531,                0.81555,                0.56944,                0.73151,                0.43055,                 1.3596,                 1.4982,                 1.8775,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2311,                 1.4923,                 1.4903,                0.80709,                0.69444,                0.81715,                0.54173,                 1.1394,                 1.3628,                 1.6444,               0.001601,               0.001601,               0.001601
                      6,                 1.2006,                 1.3862,                 1.4553,                0.77205,                0.69444,                0.79589,                0.50204,                 1.2962,                 1.2253,                 1.6901,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.1622,                 1.3178,                  1.451,                0.86531,                 0.7913,                0.91898,                0.63718,                 1.0712,                  1.035,                 1.5071,               0.001568,               0.001568,               0.001568
                      8,                 1.1458,                 1.3006,                 1.4263,                0.89567,                0.78183,                0.88519,                0.62039,                0.96178,                 1.0634,                 1.4863,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1022,                 1.2271,                 1.4038,                0.87085,                0.89375,                0.92989,                0.67946,                0.93811,                0.98388,                 1.4237,               0.001535,               0.001535,               0.001535
                     10,                 1.1364,                 1.2625,                 1.4134,                0.93242,                0.73506,                0.90052,                0.64416,                0.92621,                0.95138,                 1.4453,              0.0015185,              0.0015185,              0.0015185
                     11,                  1.079,                 1.1644,                 1.3798,                0.86588,                0.87377,                0.92748,                0.68264,                0.94986,                0.90833,                 1.3876,               0.001502,               0.001502,               0.001502
                     12,                 1.0239,                 1.1251,                 1.3511,                 0.8858,                0.86395,                0.95503,                0.68849,                0.95315,                0.86299,                  1.419,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.0207,                 1.0907,                 1.3484,                0.83681,                0.86921,                 0.9137,                0.61653,                 1.0176,                 0.9471,                 1.5563,               0.001469,               0.001469,               0.001469
                     14,                  1.023,                 1.0842,                  1.334,                0.82476,                  0.886,                0.93914,                0.64939,                 1.0226,                0.88419,                 1.4774,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0158,                 1.0901,                 1.3451,                 0.8389,                0.81169,                0.91198,                0.64194,                 1.0425,                0.96609,                 1.5317,               0.001436,               0.001436,               0.001436
                     16,                0.96433,                 1.0115,                 1.2946,                0.89763,                0.81285,                0.91757,                0.68539,                0.92667,                0.86611,                  1.444,              0.0014195,              0.0014195,              0.0014195
                     17,                0.96712,                  1.009,                 1.3028,                0.93862,                  0.875,                0.96678,                0.73232,                0.83858,                0.72434,                 1.3406,              0.0014029,              0.0014029,              0.0014029
                     18,                0.96763,                 1.0295,                 1.3141,                0.93129,                0.89831,                0.94208,                0.74518,                0.81946,                0.72715,                 1.3194,              0.0013864,              0.0013864,              0.0013864
                     19,                0.96484,                0.94731,                 1.2997,                0.89014,                0.83333,                0.90338,                0.68747,                0.80331,                 0.9114,                  1.321,              0.0013699,              0.0013699,              0.0013699
                     20,                0.93703,                0.91852,                 1.2686,                0.90481,                0.85017,                0.93695,                 0.7067,                 0.9858,                0.79602,                 1.5087,              0.0013534,              0.0013534,              0.0013534
                     21,                0.94779,                0.95519,                 1.3051,                0.87792,                0.88889,                0.94161,                0.75159,                0.75992,                  0.689,                 1.2503,              0.0013369,              0.0013369,              0.0013369
                     22,                0.89292,                0.93026,                 1.2596,                0.89438,                0.87246,                 0.9112,                0.70743,                0.91195,                0.85259,                 1.3605,              0.0013204,              0.0013204,              0.0013204
                     23,                0.92017,                0.93151,                 1.2684,                0.95592,                 0.8585,                0.94951,                0.71413,                0.89995,                0.77135,                 1.3617,              0.0013039,              0.0013039,              0.0013039
                     24,                0.88803,                0.86922,                 1.2517,                0.98855,                0.88302,                0.97787,                0.74616,                0.84872,                0.59241,                  1.383,              0.0012874,              0.0012874,              0.0012874
                     25,                0.87983,                0.87129,                 1.2453,                0.93446,                0.90278,                0.96182,                0.72625,                0.87094,                0.77587,                 1.3259,              0.0012709,              0.0012709,              0.0012709
